날짜,금액,소분류,업종코드,대분류,중분류
2023.12.14,-1950,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2023.12.14,-1800,온라인거래,ss068,전자상거래,전자상거래
2023.12.13,-7000,약국,ss058,의료,약국
2023.12.13,-1400,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.13,-13000,한식,ss001,요식/유흥,한식
2023.12.12,-3900,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.11,-3400,편의점,ss016,유통,편의점
2023.12.11,-1800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.11,-1800,온라인거래,ss068,전자상거래,전자상거래
2023.12.10,-5200,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.10,-68500,의복/의류,ss021,의류/잡화,의복/의류
2023.12.9,-2000,일식,ss002,요식/유흥,일식/중식/양식
2023.12.9,-26000,일식,ss002,요식/유흥,일식/중식/양식
2023.12.8,-10000,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2023.12.8,-10000,한식,ss001,요식/유흥,한식
2023.12.7,-1980,할인점/슈퍼마켓,ss013,유통,할인점/슈퍼마켓
2023.12.7,-39000,기타요식,ss008,요식/유흥,기타요식
2023.12.6,-2500,의복/의류,ss021,의류/잡화,의복/의류
2023.12.5,-5500,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.12.5,-1000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.4,-3700,편의점,ss016,유통,편의점
2023.12.4,-30210,화장품,ss043,미용,화장품
2023.12.4,-9000,일식,ss002,요식/유흥,일식/중식/양식
2023.12.2,-12300,기타요식,ss008,요식/유흥,기타요식
2023.12.1,-1800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.1,-9600,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.30,-1400,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.30,-4500,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.30,-12000,한식,ss001,요식/유흥,한식
2023.11.29,-36000,한식,ss001,요식/유흥,한식
2023.11.29,-1400,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.27,-3000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.11.26,-15400,온라인거래,ss068,전자상거래,전자상거래
2023.11.26,-2220,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2023.11.26,-115787,의복/의류,ss021,의류/잡화,의복/의류
2023.11.24,-12000,편의점,ss016,유통,편의점
2023.11.24,-1800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.23,-10000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
